,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,,spearman_maxauc,,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,11,0.954720581,0.950979237,0.580001789,,"SignificanceResult(statistic=0.7752136143350149, pvalue=0.0)",,7,0.950465863,0.954272261,0.581552243,"SignificanceResult(statistic=0.7742140313363219, pvalue=0.0)",9,0.581434839,0.954727379,0.950705416,"SignificanceResult(statistic=0.7739049687785999, pvalue=0.0)"
1,vali,1,11,0.853005031,0.334100847,0.888337992,0.500041989079128,"SignificanceResult(statistic=0.5000419890791288, pvalue=8.552481356269198e-222)",0.500041989,7,0.337048164,0.852612199,0.884433381,"SignificanceResult(statistic=0.5087861440868408, pvalue=7.916591744749601e-231)",9,0.883979978,0.85266622,0.335123277,"SignificanceResult(statistic=0.5113616316340541, pvalue=1.5389830875780437e-233)"
2,train,2,5,0.955454295,0.951653198,0.576891002,,"SignificanceResult(statistic=0.7807400459653162, pvalue=0.0)",,1,0.950940784,0.955100096,0.58473858,"SignificanceResult(statistic=0.7754998827491021, pvalue=0.0)",0,0.585170005,0.955835018,0.951811065,"SignificanceResult(statistic=0.7773896297021121, pvalue=0.0)"
3,vali,2,5,0.806124383,0.24273841,0.869287147,0.428797367739860,"SignificanceResult(statistic=0.4287973677398605, pvalue=8.095832153435103e-143)",0.428797368,1,0.243016237,0.803892762,0.869794504,"SignificanceResult(statistic=0.44277639901614935, pvalue=3.055903149350985e-153)",0,0.867166971,0.802293616,0.243003929,"SignificanceResult(statistic=0.4404543754310514, pvalue=1.780698442176398e-151)"
4,train,3,11,0.954964361,0.951133801,0.580037305,,"SignificanceResult(statistic=0.7840481914466318, pvalue=0.0)",,7,0.950640356,0.954407734,0.584251484,"SignificanceResult(statistic=0.7809004401927172, pvalue=0.0)",2,0.589708855,0.955203115,0.951333073,"SignificanceResult(statistic=0.7764808273249518, pvalue=0.0)"
5,vali,3,11,0.85211173,0.323132364,0.655820714,0.561019238853123,"SignificanceResult(statistic=0.5610192388531238, pvalue=3.774757928011696e-269)",0.561019239,7,0.324644547,0.852023811,0.657666122,"SignificanceResult(statistic=0.5623149370557575, pvalue=1.1880920435257582e-270)",2,0.653411109,0.850406769,0.322158395,"SignificanceResult(statistic=0.5671772430980186, pvalue=2.390250148757605e-276)"
6,train,4,4,0.95493869,0.952368016,0.585110704,,"SignificanceResult(statistic=0.7743800065499687, pvalue=0.0)",,4,0.952368016,0.95493869,0.585110704,"SignificanceResult(statistic=0.7743800065499687, pvalue=0.0)",2,0.587407081,0.954762738,0.952333484,"SignificanceResult(statistic=0.772048117487703, pvalue=0.0)"
7,vali,4,4,0.831285386,0.282421846,0.808579166,0.473660661512659,"SignificanceResult(statistic=0.4736606615126598, pvalue=1.1642416632159844e-172)",0.473660662,4,0.282421846,0.831285386,0.808579166,"SignificanceResult(statistic=0.4736606615126598, pvalue=1.1642416632159844e-172)",2,0.792841888,0.830765078,0.282059968,"SignificanceResult(statistic=0.5077322804194745, pvalue=3.004228245853783e-202)"
8,train,5,14,0.95417636,0.949891284,0.577676063,,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)",,14,0.949891284,0.95417636,0.577676063,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)",14,0.577676063,0.95417636,0.949891284,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)"
9,vali,5,14,0.783136205,0.263442157,0.844554793,0.588214066048863,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)",0.588214066,14,0.263442157,0.783136205,0.844554793,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)",14,0.844554793,0.783136205,0.263442157,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)"
