,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,9,0.952801572107019,0.9489096318139276,0.5807064951242417,0.4355923645028709,"SignificanceResult(statistic=0.7744767888523528, pvalue=0.0)",7,0.948625013096865,0.9523173702711949,0.5809744652059989,0.4357128731310457,"SignificanceResult(statistic=0.7745568879282962, pvalue=0.0)",9,0.5807064951242417,0.4355923645028709,0.952801572107019,0.9489096318139276,"SignificanceResult(statistic=0.7744767888523528, pvalue=0.0)"
1,vali,1,9,0.8503764687954097,0.3285840616702237,0.8691127789955593,0.6701879207982786,"SignificanceResult(statistic=0.5341802831123449, pvalue=1.3111374784337558e-258)",7,0.3286384923087026,0.8493034597874689,0.8693134199483983,0.6749703280447557,"SignificanceResult(statistic=0.5357600627688786, pvalue=2.04169730486459e-260)",9,0.8691127789955593,0.6701879207982786,0.8503764687954097,0.3285840616702237,"SignificanceResult(statistic=0.5341802831123449, pvalue=1.3111374784337558e-258)"
2,train,2,6,0.9547983694200577,0.9510933818162931,0.5767802243425769,0.4317060598458889,"SignificanceResult(statistic=0.780243156387426, pvalue=0.0)",13,0.9518626379248655,0.9554979974393608,0.5718066430785841,0.42707653498586645,"SignificanceResult(statistic=0.7839503762612746, pvalue=0.0)",0,0.5850628608852847,0.4388840379695089,0.9554203014334628,0.9518117983661532,"SignificanceResult(statistic=0.7770039772203681, pvalue=0.0)"
3,vali,2,6,0.8106184618727084,0.25631261058595395,0.8699037495614084,0.6825724277200277,"SignificanceResult(statistic=0.4241074677772872, pvalue=1.9797488974690424e-139)",13,0.25793469557405485,0.8088716494634277,0.8649604421862251,0.6712729603042794,"SignificanceResult(statistic=0.43458699712209625, pvalue=4.47449439505957e-147)",0,0.860287415375928,0.6643797325168369,0.8082141117852458,0.25776582058370184,"SignificanceResult(statistic=0.4498117828732687, pvalue=1.1257875132795977e-158)"
4,train,3,11,0.9549643614734302,0.9511338008280712,0.5800373045823488,0.43358088241168424,"SignificanceResult(statistic=0.7840481914466318, pvalue=0.0)",7,0.950640355907493,0.9544077341410832,0.5842514835718299,0.43782444884799604,"SignificanceResult(statistic=0.7809004401927172, pvalue=0.0)",2,0.589708855464059,0.44205357162424164,0.9552031150349263,0.951333072809535,"SignificanceResult(statistic=0.7764808273249518, pvalue=0.0)"
5,vali,3,11,0.8521117296769533,0.3231323642898855,0.6558207142880274,0.47069535477506613,"SignificanceResult(statistic=0.5610192388531238, pvalue=3.774757928011696e-269)",7,0.3246445468840288,0.8520238105827332,0.6576661220742441,0.47333479151152624,"SignificanceResult(statistic=0.5623149370557575, pvalue=1.1880920435257582e-270)",2,0.6534111091613446,0.4633762036475115,0.8504067692813124,0.3221583953881732,"SignificanceResult(statistic=0.5671772430980186, pvalue=2.390250148757605e-276)"
6,train,4,4,0.9539130196394394,0.9515101480818597,0.584314680275143,0.4379066250007853,"SignificanceResult(statistic=0.7747273827805475, pvalue=0.0)",12,0.9508651577581707,0.9536632363207583,0.5772326501398739,0.43164610126401926,"SignificanceResult(statistic=0.7796086014578364, pvalue=0.0)",2,0.5861188471079556,0.43924221797936513,0.9540100993531155,0.9517296933289515,"SignificanceResult(statistic=0.7728241683632507, pvalue=0.0)"
7,vali,4,4,0.8217714244354006,0.266494434952409,0.7966732997747292,0.590037867923417,"SignificanceResult(statistic=0.49417389372730747, pvalue=4.520273713048485e-190)",12,0.267888634432846,0.8202369259269369,0.7945483650612463,0.58989354029939,"SignificanceResult(statistic=0.4936701961514509, pvalue=1.250432291619982e-189)",2,0.7843671622186942,0.572033193226348,0.8182488154725198,0.26427272016570175,"SignificanceResult(statistic=0.5247965485977408, pvalue=2.228112216411928e-218)"
8,train,5,14,0.9541763601595602,0.9498912839899657,0.5776760631045502,0.43263842082445175,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)",14,0.9498912839899657,0.9541763601595602,0.5776760631045502,0.43263842082445175,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)",14,0.5776760631045502,0.43263842082445175,0.9541763601595602,0.9498912839899657,"SignificanceResult(statistic=0.7721175208868005, pvalue=0.0)"
9,vali,5,14,0.7831362046598008,0.26344215729857784,0.8445547926564613,0.6529940203600323,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)",14,0.26344215729857784,0.7831362046598008,0.8445547926564613,0.6529940203600323,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)",14,0.8445547926564613,0.6529940203600323,0.7831362046598008,0.26344215729857784,"SignificanceResult(statistic=0.5882140660488634, pvalue=0.0)"
