,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,9,0.951712825,0.947626184,0.579547259,0.434545709,,"SignificanceResult(statistic=0.7754838889151903, pvalue=0.0)",1,0.947907077,0.951879185,0.587581229,0.441731933,"SignificanceResult(statistic=0.7697007651852177, pvalue=0.0)",11,0.578594012,0.433736872,0.951843773,0.948135771,"SignificanceResult(statistic=0.7765335091580534, pvalue=0.0)"
1,vali,1,9,0.848923664,0.332363252,0.877322203,0.678913931,0.521821020010739,"SignificanceResult(statistic=0.5218210200107393, pvalue=8.580742651865952e-245)",1,0.333573907,0.848569328,0.878286193,0.663944103,"SignificanceResult(statistic=0.5221948584204957, pvalue=3.3416973202179295e-245)",11,0.874650745,0.672003873,0.847726602,0.331577179,"SignificanceResult(statistic=0.5222169165502764, pvalue=3.1607152079403166e-245)"
2,train,2,9,0.955088119,0.951842948,0.573446603,0.427739425,,"SignificanceResult(statistic=0.7838281217077249, pvalue=0.0)",9,0.951842948,0.955088119,0.573446603,0.427739425,"SignificanceResult(statistic=0.7838281217077249, pvalue=0.0)",1,0.583570664,0.437420547,0.95493328,0.951310256,"SignificanceResult(statistic=0.7763446071555906, pvalue=0.0)"
3,vali,2,9,0.806020336,0.259169649,0.852402338,0.650395729,0.456445974300442,"SignificanceResult(statistic=0.4564459743004423, pvalue=6.444247055072603e-164)",9,0.259169649,0.806020336,0.852402338,0.650395729,"SignificanceResult(statistic=0.4564459743004423, pvalue=6.444247055072603e-164)",1,0.851007843,0.650804268,0.802735972,0.256194766,"SignificanceResult(statistic=0.457352747251923, pvalue=1.2122261022897142e-164)"
4,train,3,11,0.954964361,0.951133801,0.580037305,0.433580882,,"SignificanceResult(statistic=0.7840481914466318, pvalue=0.0)",7,0.950640356,0.954407734,0.584251484,0.437824449,"SignificanceResult(statistic=0.7809004401927172, pvalue=0.0)",2,0.589708855,0.442053572,0.955203115,0.951333073,"SignificanceResult(statistic=0.7764808273249518, pvalue=0.0)"
5,vali,3,11,0.85211173,0.323132364,0.655820714,0.470695355,0.561019238853123,"SignificanceResult(statistic=0.5610192388531238, pvalue=3.774757928011696e-269)",7,0.324644547,0.852023811,0.657666122,0.473334792,"SignificanceResult(statistic=0.5623149370557575, pvalue=1.1880920435257582e-270)",2,0.653411109,0.463376204,0.850406769,0.322158395,"SignificanceResult(statistic=0.5671772430980186, pvalue=2.390250148757605e-276)"
6,train,4,4,0.95493869,0.952368016,0.585110704,0.439126997,,"SignificanceResult(statistic=0.7743800065499687, pvalue=0.0)",4,0.952368016,0.95493869,0.585110704,0.439126997,"SignificanceResult(statistic=0.7743800065499687, pvalue=0.0)",2,0.587407081,0.440658445,0.954762738,0.952333484,"SignificanceResult(statistic=0.772048117487703, pvalue=0.0)"
7,vali,4,4,0.831285386,0.282421846,0.808579166,0.602322828,0.473660661512659,"SignificanceResult(statistic=0.4736606615126598, pvalue=1.1642416632159844e-172)",4,0.282421846,0.831285386,0.808579166,0.602322828,"SignificanceResult(statistic=0.4736606615126598, pvalue=1.1642416632159844e-172)",2,0.792841888,0.582182388,0.830765078,0.282059968,"SignificanceResult(statistic=0.5077322804194745, pvalue=3.004228245853783e-202)"
8,train,5,14,0.952835466,0.948779955,0.577559553,0.433028257,,"SignificanceResult(statistic=0.7722238982388745, pvalue=0.0)",14,0.948779955,0.952835466,0.577559553,0.433028257,"SignificanceResult(statistic=0.7722238982388745, pvalue=0.0)",14,0.577559553,0.433028257,0.952835466,0.948779955,"SignificanceResult(statistic=0.7722238982388745, pvalue=0.0)"
9,vali,5,14,0.780151698,0.26477406,0.844167429,0.650866245,0.596454919042825,"SignificanceResult(statistic=0.5964549190428259, pvalue=0.0)",14,0.26477406,0.780151698,0.844167429,0.650866245,"SignificanceResult(statistic=0.5964549190428259, pvalue=0.0)",14,0.844167429,0.650866245,0.780151698,0.26477406,"SignificanceResult(statistic=0.5964549190428259, pvalue=0.0)"
