,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,spearman_maxauc,,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,6,0.951965693,0.948776663,0.584629727,"SignificanceResult(statistic=0.7739178836246989, pvalue=0.0)",,6,0.948776663,0.951965693,0.584629727,"SignificanceResult(statistic=0.7739178836246989, pvalue=0.0)",9,0.581476141,0.951871147,0.949411023,"SignificanceResult(statistic=0.7768567718600718, pvalue=0.0)"
1,vali,1,6,0.927341171,0.531717376,0.630494634,"SignificanceResult(statistic=0.7381594591290059, pvalue=0.0)",0.738159459,6,0.531717376,0.927341171,0.630494634,"SignificanceResult(statistic=0.7381594591290059, pvalue=0.0)",9,0.616070131,0.926792913,0.527964589,"SignificanceResult(statistic=0.7455980117597117, pvalue=0.0)"
2,train,2,10,0.957168538,0.954480767,0.577612479,"SignificanceResult(statistic=0.7771188862598007, pvalue=0.0)",,10,0.954480767,0.957168538,0.577612479,"SignificanceResult(statistic=0.7771188862598007, pvalue=0.0)",6,0.582210565,0.956713095,0.953610092,"SignificanceResult(statistic=0.7735496658293672, pvalue=0.0)"
3,vali,2,10,0.927324389,0.528760382,0.654184186,"SignificanceResult(statistic=0.7408525739360161, pvalue=0.0)",0.740852574,10,0.528760382,0.927324389,0.654184186,"SignificanceResult(statistic=0.7408525739360161, pvalue=0.0)",6,0.646736888,0.927225266,0.527280149,"SignificanceResult(statistic=0.7424539162406893, pvalue=0.0)"
4,train,3,2,0.952490445,0.949264994,0.590148745,"SignificanceResult(statistic=0.7699424209537606, pvalue=0.0)",,14,0.949975659,0.95301682,0.581166437,"SignificanceResult(statistic=0.7766206370028441, pvalue=0.0)",12,0.581860404,0.951751972,0.948560677,"SignificanceResult(statistic=0.7760159906492845, pvalue=0.0)"
5,vali,3,2,0.928551569,0.533865968,0.643575652,"SignificanceResult(statistic=0.7296805451699786, pvalue=0.0)",0.729680545,14,0.536642113,0.92814671,0.66670323,"SignificanceResult(statistic=0.7356394247570979, pvalue=0.0)",12,0.637368504,0.927895857,0.535154642,"SignificanceResult(statistic=0.7342940817296981, pvalue=0.0)"
6,train,4,10,0.954696235,0.951747058,0.583608258,"SignificanceResult(statistic=0.775371789681477, pvalue=0.0)",,3,0.951625575,0.955096825,0.588084269,"SignificanceResult(statistic=0.7722051946524832, pvalue=0.0)",9,0.583717915,0.955372723,0.951634093,"SignificanceResult(statistic=0.7755457732715447, pvalue=0.0)"
7,vali,4,10,0.929357829,0.535843036,0.628135083,"SignificanceResult(statistic=0.7517234860890849, pvalue=0.0)",0.751723486,3,0.536051305,0.929131606,0.619321046,"SignificanceResult(statistic=0.7538161492873767, pvalue=0.0)",9,0.612366975,0.928850797,0.534082043,"SignificanceResult(statistic=0.7546145120173128, pvalue=0.0)"
8,train,5,8,0.953543038,0.950838528,0.581758594,"SignificanceResult(statistic=0.7753676278387029, pvalue=0.0)",,13,0.952341831,0.954735611,0.578481947,"SignificanceResult(statistic=0.7777302008340866, pvalue=0.0)",11,0.579130174,0.954338932,0.951734166,"SignificanceResult(statistic=0.7773241083909328, pvalue=0.0)"
9,vali,5,8,0.931887186,0.539922651,0.632351135,"SignificanceResult(statistic=0.7414540012015437, pvalue=0.0)",0.741454001,13,0.541223246,0.931840406,0.630555464,"SignificanceResult(statistic=0.7451381574449482, pvalue=0.0)",11,0.62722845,0.931696229,0.538098566,"SignificanceResult(statistic=0.74520865508439, pvalue=0.0)"
