,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,0,0.9519156280953511,0.9494330577170219,0.5925160850890977,"SignificanceResult(statistic=0.7711284883949306, pvalue=0.0)",11,0.9485640054201367,0.9509491417401921,0.5792080273744287,"SignificanceResult(statistic=0.7778715606294873, pvalue=0.0)",10,0.5804570255938158,0.9517242091874079,0.9494907109629395,"SignificanceResult(statistic=0.7768517465195633, pvalue=0.0)"
1,vali,1,0,0.9268257095502365,0.5330106596240657,0.6265371450500719,"SignificanceResult(statistic=0.7369812662332198, pvalue=0.0)",11,0.5335545937482905,0.926767838175121,0.6179412224600778,"SignificanceResult(statistic=0.7435728340083603, pvalue=0.0)",10,0.613701582194561,0.925721120622249,0.5321165044112028,"SignificanceResult(statistic=0.7466438424813219, pvalue=0.0)"
2,train,2,9,0.9559619114525696,0.9531090397967396,0.576243674360745,"SignificanceResult(statistic=0.7785976354122509, pvalue=0.0)",8,0.9533955345143067,0.9562564871137078,0.5772532118748255,"SignificanceResult(statistic=0.77772309239562, pvalue=0.0)",6,0.5797123973601133,0.956091882297728,0.9529973554132046,"SignificanceResult(statistic=0.7759042693521294, pvalue=0.0)"
3,vali,2,9,0.9267169067605896,0.5281897212854367,0.6476406280602893,"SignificanceResult(statistic=0.7450287713969802, pvalue=0.0)",8,0.5288350017372092,0.9266130406138202,0.6475909285097392,"SignificanceResult(statistic=0.7445850572493987, pvalue=0.0)",6,0.6459200484174648,0.9263827610811384,0.5271269653473383,"SignificanceResult(statistic=0.7445656837689212, pvalue=0.0)"
4,train,3,2,0.9525447029509998,0.9493789437811692,0.5910161507312907,"SignificanceResult(statistic=0.7689346530687332, pvalue=0.0)",5,0.9488886656320066,0.9519703163140742,0.5868890401963102,"SignificanceResult(statistic=0.772156123370456, pvalue=0.0)",12,0.5829317411672718,0.9519620912733132,0.9481996316911235,"SignificanceResult(statistic=0.7749693635492081, pvalue=0.0)"
5,vali,3,2,0.9275492746850964,0.5296963737588912,0.643876154931355,"SignificanceResult(statistic=0.7295557005649745, pvalue=0.0)",5,0.5329016198945656,0.9266754819140801,0.6487794777045783,"SignificanceResult(statistic=0.7303893504927764, pvalue=0.0)",12,0.636014631637706,0.92691299819872,0.5312804228425976,"SignificanceResult(statistic=0.7362947284504512, pvalue=0.0)"
6,train,4,10,0.9559593070862235,0.9529202799013813,0.5829437895772732,"SignificanceResult(statistic=0.77615555217473, pvalue=0.0)",10,0.9529202799013813,0.9559593070862235,0.5829437895772732,"SignificanceResult(statistic=0.77615555217473, pvalue=0.0)",13,0.5801031041608485,0.9559458668853046,0.9525573543610614,"SignificanceResult(statistic=0.7785876628941948, pvalue=0.0)"
7,vali,4,10,0.9286290647710361,0.532090534505905,0.6270327917561219,"SignificanceResult(statistic=0.7521332408290425, pvalue=0.0)",10,0.532090534505905,0.9286290647710361,0.6270327917561219,"SignificanceResult(statistic=0.7521332408290425, pvalue=0.0)",13,0.6115125983109873,0.9283491753462887,0.5307402224345915,"SignificanceResult(statistic=0.7557049512931963, pvalue=0.0)"
8,train,5,8,0.9535430378810812,0.9508385280587233,0.5817585941083134,"SignificanceResult(statistic=0.7753676278387029, pvalue=0.0)",13,0.9523418310884812,0.9547356114837308,0.5784819465383148,"SignificanceResult(statistic=0.7777302008340866, pvalue=0.0)",11,0.5791301739347706,0.9543389318831889,0.9517341659881475,"SignificanceResult(statistic=0.7773241083909328, pvalue=0.0)"
9,vali,5,8,0.931887186097948,0.5399226514182532,0.6323511353770715,"SignificanceResult(statistic=0.7414540012015437, pvalue=0.0)",13,0.5412232455449787,0.931840406032262,0.6305554639283746,"SignificanceResult(statistic=0.7451381574449482, pvalue=0.0)",11,0.6272284500804268,0.9316962291129529,0.5380985655391227,"SignificanceResult(statistic=0.74520865508439, pvalue=0.0)"
