,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,11,0.951721772,0.949245501,0.578600241,0.431765082,,"SignificanceResult(statistic=0.7783815170341059, pvalue=0.0)",11,0.949245501,0.951721772,0.578600241,0.431765082,"SignificanceResult(statistic=0.7783815170341059, pvalue=0.0)",10,0.580045172,0.43248518,0.95225173,0.950019871,"SignificanceResult(statistic=0.7772602863186758, pvalue=0.0)"
1,vali,1,11,0.928758066,0.531782031,0.618216377,0.462016664,0.743368152357901,"SignificanceResult(statistic=0.743368152357901, pvalue=0.0)",11,0.531782031,0.928758066,0.618216377,0.462016664,"SignificanceResult(statistic=0.743368152357901, pvalue=0.0)",10,0.612434362,0.458641218,0.927734789,0.530258292,"SignificanceResult(statistic=0.7469011789208845, pvalue=0.0)"
2,train,2,8,0.956015032,0.953084705,0.578003909,0.432015125,,"SignificanceResult(statistic=0.7771782902387402, pvalue=0.0)",8,0.953084705,0.956015032,0.578003909,0.432015125,"SignificanceResult(statistic=0.7771782902387402, pvalue=0.0)",6,0.580723874,0.43540175,0.955777324,0.95225129,"SignificanceResult(statistic=0.7750543815919482, pvalue=0.0)"
3,vali,2,8,0.926368674,0.528876179,0.649031284,0.478609124,0.741621207777472,"SignificanceResult(statistic=0.7416212077774725, pvalue=0.0)",8,0.528876179,0.926368674,0.649031284,0.478609124,"SignificanceResult(statistic=0.7416212077774725, pvalue=0.0)",6,0.646086959,0.476064925,0.925991725,0.527112112,"SignificanceResult(statistic=0.743273402637865, pvalue=0.0)"
4,train,3,2,0.952490445,0.949264994,0.590148745,0.44255663,,"SignificanceResult(statistic=0.7699424209537606, pvalue=0.0)",14,0.949975659,0.95301682,0.581166437,0.434793618,"SignificanceResult(statistic=0.7766206370028441, pvalue=0.0)",12,0.581860404,0.435955469,0.951751972,0.948560677,"SignificanceResult(statistic=0.7760159906492845, pvalue=0.0)"
5,vali,3,2,0.928551569,0.533865968,0.643575652,0.477546847,0.729680545169978,"SignificanceResult(statistic=0.7296805451699786, pvalue=0.0)",14,0.536642113,0.92814671,0.66670323,0.496465633,"SignificanceResult(statistic=0.7356394247570979, pvalue=0.0)",12,0.637368504,0.472110844,0.927895857,0.535154642,"SignificanceResult(statistic=0.7342940817296981, pvalue=0.0)"
6,train,4,10,0.956359769,0.953445668,0.58508933,0.436727341,,"SignificanceResult(statistic=0.774862272271811, pvalue=0.0)",6,0.952714339,0.956024965,0.58767336,0.439688572,"SignificanceResult(statistic=0.7730220835440017, pvalue=0.0)",13,0.582399259,0.435035625,0.956492709,0.953093044,"SignificanceResult(statistic=0.777346621960065, pvalue=0.0)"
7,vali,4,10,0.929747469,0.534503838,0.625941225,0.472119211,0.752224601260763,"SignificanceResult(statistic=0.7522246012607634, pvalue=0.0)",6,0.534790094,0.929710173,0.616016414,0.463072939,"SignificanceResult(statistic=0.7538642028307388, pvalue=0.0)",13,0.611073769,0.459562179,0.929593163,0.533584248,"SignificanceResult(statistic=0.7552979534518488, pvalue=0.0)"
8,train,5,8,0.953543038,0.950838528,0.581758594,0.435510332,,"SignificanceResult(statistic=0.7753676278387029, pvalue=0.0)",13,0.952341831,0.954735611,0.578481947,0.432716904,"SignificanceResult(statistic=0.7777302008340866, pvalue=0.0)",11,0.579130174,0.432634275,0.954338932,0.951734166,"SignificanceResult(statistic=0.7773241083909328, pvalue=0.0)"
9,vali,5,8,0.931887186,0.539922651,0.632351135,0.471490688,0.741454001201543,"SignificanceResult(statistic=0.7414540012015437, pvalue=0.0)",13,0.541223246,0.931840406,0.630555464,0.469082193,"SignificanceResult(statistic=0.7451381574449482, pvalue=0.0)",11,0.62722845,0.466605448,0.931696229,0.538098566,"SignificanceResult(statistic=0.74520865508439, pvalue=0.0)"
