,dataset,folder,best_epoch,auc_max,aupr_maxauc,rmse_maxauc,mae_maxauc,spearman_maxauc,epoch_maxaupr,aupr_max,auc_maxaupr,rmse_maxaupr,mae_maxaupr,spearman_maxaupr,epoch_minrmse,rmse_min,mae_minrmse,auc_minrmse,aupr_minrmse,spearman_minrmse
0,train,1,11,0.952178669,0.949622732,0.579387835,0.431980983,"SignificanceResult(statistic=0.7773060665835884, pvalue=0.0)",11,0.949622732,0.952178669,0.579387835,0.431980983,"SignificanceResult(statistic=0.7773060665835884, pvalue=0.0)",9,0.581178671,0.433405671,0.951960627,0.949321385,"SignificanceResult(statistic=0.7764742000169997, pvalue=0.0)"
1,vali,1,11,0.927984152,0.535679122,0.620265047,0.462309456,"SignificanceResult(statistic=0.742360945032124, pvalue=0.0)",11,0.535679122,0.927984152,0.620265047,0.462309456,"SignificanceResult(statistic=0.742360945032124, pvalue=0.0)",9,0.614834427,0.4602219,0.927292395,0.532164153,"SignificanceResult(statistic=0.7437712751484492, pvalue=0.0)"
2,train,2,10,0.957168538,0.954480767,0.577612479,0.431953663,"SignificanceResult(statistic=0.7771188862598007, pvalue=0.0)",10,0.954480767,0.957168538,0.577612479,0.431953663,"SignificanceResult(statistic=0.7771188862598007, pvalue=0.0)",6,0.582210565,0.435761537,0.956713095,0.953610092,"SignificanceResult(statistic=0.7735496658293672, pvalue=0.0)"
3,vali,2,10,0.927324389,0.528760382,0.654184186,0.479803731,"SignificanceResult(statistic=0.7408525739360161, pvalue=0.0)",10,0.528760382,0.927324389,0.654184186,0.479803731,"SignificanceResult(statistic=0.7408525739360161, pvalue=0.0)",6,0.646736888,0.476290504,0.927225266,0.527280149,"SignificanceResult(statistic=0.7424539162406893, pvalue=0.0)"
4,train,3,2,0.952490445,0.949264994,0.590148745,0.44255663,"SignificanceResult(statistic=0.7699424209537606, pvalue=0.0)",14,0.949975659,0.95301682,0.581166437,0.434793618,"SignificanceResult(statistic=0.7766206370028441, pvalue=0.0)",12,0.581860404,0.435955469,0.951751972,0.948560677,"SignificanceResult(statistic=0.7760159906492845, pvalue=0.0)"
5,vali,3,2,0.928551569,0.533865968,0.643575652,0.477546847,"SignificanceResult(statistic=0.7296805451699786, pvalue=0.0)",14,0.536642113,0.92814671,0.66670323,0.496465633,"SignificanceResult(statistic=0.7356394247570979, pvalue=0.0)",12,0.637368504,0.472110844,0.927895857,0.535154642,"SignificanceResult(statistic=0.7342940817296981, pvalue=0.0)"
6,train,4,10,0.956359769,0.953445668,0.58508933,0.436727341,"SignificanceResult(statistic=0.774862272271811, pvalue=0.0)",6,0.952714339,0.956024965,0.58767336,0.439688572,"SignificanceResult(statistic=0.7730220835440017, pvalue=0.0)",13,0.582399259,0.435035625,0.956492709,0.953093044,"SignificanceResult(statistic=0.777346621960065, pvalue=0.0)"
7,vali,4,10,0.929747469,0.534503838,0.625941225,0.472119211,"SignificanceResult(statistic=0.7522246012607634, pvalue=0.0)",6,0.534790094,0.929710173,0.616016414,0.463072939,"SignificanceResult(statistic=0.7538642028307388, pvalue=0.0)",13,0.611073769,0.459562179,0.929593163,0.533584248,"SignificanceResult(statistic=0.7552979534518488, pvalue=0.0)"
8,train,5,10,0.95451407,0.951677894,0.579957784,0.433574966,"SignificanceResult(statistic=0.7764186401355279, pvalue=0.0)",10,0.951677894,0.95451407,0.579957784,0.433574966,"SignificanceResult(statistic=0.7764186401355279, pvalue=0.0)",13,0.577707661,0.431838652,0.955270258,0.952876318,"SignificanceResult(statistic=0.7782133217035578, pvalue=0.0)"
9,vali,5,10,0.931125468,0.540711701,0.627884891,0.467496004,"SignificanceResult(statistic=0.7432031559477174, pvalue=0.0)",10,0.540711701,0.931125468,0.627884891,0.467496004,"SignificanceResult(statistic=0.7432031559477174, pvalue=0.0)",13,0.626555905,0.465866283,0.930843906,0.533781904,"SignificanceResult(statistic=0.7464732724040314, pvalue=0.0)"
10,train,6,3,0.952619673,0.949818517,0.590317163,0.442127802,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",3,0.949818517,0.952619673,0.590317163,0.442127802,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)",3,0.590317163,0.442127802,0.952619673,0.949818517,"SignificanceResult(statistic=0.7715752315614914, pvalue=0.0)"
11,vali,6,3,0.927232168,0.527021665,0.612670797,0.460442313,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",3,0.527021665,0.927232168,0.612670797,0.460442313,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)",3,0.612670797,0.460442313,0.927232168,0.527021665,"SignificanceResult(statistic=0.7503604617853437, pvalue=0.0)"
